序号,简体,拼音,繁体,笔画,五行,姓氏
1,吖,a,吖,6,土,否
2,阿,a、e,阿,13,土,是
3,啊,a,啊,10,土,否
4,锕,a,錒,15,金,否
5,嗄,ga、a,嗄,13,木,否
6,哎,ai、a,哎,8,火,否
7,哀,ai,哀,9,土,是
8,唉,ai,唉,10,土,否
9,埃,ai,埃,10,土,否
10,挨,ai,挨,11,土,否
11,欸,ai,欸,11,火,否
12,锿,ai,鎄,17,金,否
13,捱,ai,捱,12,土,否
14,皑,ai,皚,15,火,否
15,癌,ai,癌,17,土,否
16,嗳,ai,噯,16,土,否
17,矮,ai,矮,13,土,否
18,蔼,ai,藹,22,木,是
19,霭,ai,靄,24,木,否
20,艾,ai,艾,8,木,是
21,爱,ai,愛,13,土,是
22,砹,ai,砹,10,土,否
23,隘,ai,隘,17,土,否
24,嗌,ai,嗌,13,土,否
25,嫒,ai,嬡,16,土,否
26,碍,ai,礙,18,土,否
27,叆,ai,靉,25,火,否
28,暧,ai,曖,17,火,否
29,瑷,ai,璦,18,土,否
30,僾,ai,僾,15,火,否
31,薆,ai,薆,19,火,否
32,餲,ai,餲,17,火,否
33,安,an,安,6,土,是
34,桉,an,桉,10,木,否
35,氨,an,氨,10,水,否
36,庵,an,庵,11,土,否
37,谙,an,諳,16,土,否
38,媕,an,媕,12,土,否
39,腤,an,腤,15,土,否
40,鹌,an,鵪,10,土,否
41,鞍,an,鞍,15,土,否
42,闇,an,闇,17,土,否
43,鮟,an,鮟,17,土,否
44,盫,an,盫,18,土,否
45,啽,an,啽,12,土,否
46,垵,an,垵,9,土,否
47,俺,an,俺,10,土,否
48,唵,an,唵,11,土,否
49,埯,an,埯,11,土,否
50,铵,an,銨,14,金,否
51,揞,an,揞,13,土,否
52,晻,an,晻,12,土,否
53,犴,an,犴,7,火,是
54,岸,an,岸,8,水,是
55,按,an,按,10,土,否
56,案,an,案,10,土,否
57,胺,an,胺,12,土,否
58,暗,an,暗,13,土,否
59,黯,an,黯,21,水,否
60,肮,ang,骯,14,土,否
61,昂,ang,昂,8,木,是
62,枊,ang,枊,8,木,否
63,盎,ang,盎,10,土,否
64,醠,ang,醠,17,土,否
65,凹,ao,凹,5,土,否
66,坳,ao,坳,8,土,否
67,垇,ao,垇,8,土,否
68,爊,ao,爊,19,土,否
69,敖,ao,敖,10,土,是
70,嗷,ao,嗷,13,土,否
71,嶅,ao,嶅,13,土,否
72,廒,ao,廒,13,土,否
73,獒,ao,獒,14,土,否
74,遨,ao,遨,17,土,否
75,熬,ao,熬,14,火,否
76,璈,ao,璈,15,土,否
77,翱,ao,翱,18,金,否
78,聱,ao,聱,16,土,否
79,螯,ao,螯,16,土,否
80,謷,ao,謷,17,土,否
81,鳌,ao,鰲,21,土,否
82,鏖,ao,鏖,19,金,否
83,芺,ao,芺,10,土,否
84,拗,ao,拗,9,土,否
85,袄,ao,襖,18,土,否
86,媪,ao,媪,12,土,否
87,岙,ao,嶴,7,土,否
88,傲,ao,傲,12,土,否
89,奡,ao,奡,12,土,否
90,奥,ao,奥,13,土,是
91,骜,ao,驁,20,土,否
92,墺,ao,墺,15,土,否
93,澳,ao,澳,16,水,否
94,懊,ao,懊,16,土,否
95,鏊,ao,鏊,18,金,否
96,八,ba,八,8,水,是
97,巴,ba,巴,4,水,是
98,叭,ba,叭,5,水,否
99,扒,ba,扒,6,水,否
100,朳,ba,朳,6,木,否
101,吧,ba,吧,7,水,否
102,夿,ba,夿,7,水,否
103,岜,ba,岜,7,土,否
104,芭,ba,芭,10,木,是
105,疤,ba,疤,9,水,否
106,捌,ba,捌,11,水,是
